School ID,Class ID,Student ID,Gender,Personality Type,Japanese Language,Social Studies,Mathematics,Science,Music,Art,Health and Physical Education,Technology and Home Economics,Foreign Language,Moral Education,Integrated Study Time,Special Activities
1,1,1,Male,ENTJ,3,2,4,2,4,3,3,3,5,3,2,3
1,1,2,Male,ESTJ,3,4,4,1,4,4,1,1,2,1,4,5
1,1,3,Male,INTP,4,5,3,2,2,1,5,1,5,2,5,1
1,1,4,Male,INFP,3,5,2,1,2,1,1,2,3,2,2,2
1,1,5,Male,INTP,3,3,3,5,1,1,5,1,4,1,5,4
1,1,6,Male,ISTP,3,4,3,4,4,5,1,4,4,4,1,3
1,1,7,Male,ENFP,4,2,2,4,4,1,2,3,3,2,2,1
1,1,8,Male,INTJ,1,1,1,2,3,1,1,4,2,4,3,5
1,1,9,Male,ESFJ,3,4,1,5,4,2,3,2,2,4,5,2
1,1,10,Male,ESTP,4,2,4,2,5,4,2,5,1,3,1,1
1,1,11,Male,ENTJ,3,5,3,5,4,2,2,3,1,1,5,4
1,1,12,Male,ESFP,3,2,2,1,4,5,1,4,3,1,4,4
1,1,13,Male,ENTP,3,5,5,3,5,1,4,5,4,2,3,2
1,1,14,Male,INFP,1,4,3,1,5,4,3,4,5,1,1,4
1,1,15,Male,ISTP,2,1,2,4,3,1,1,2,1,1,3,1
1,1,16,Male,ENFJ,3,5,1,4,5,5,4,3,5,5,4,5
1,1,17,Male,ESFP,1,2,5,3,1,1,5,1,4,5,5,4
1,1,18,Male,ENFJ,1,1,3,3,4,3,5,2,4,4,5,5
1,1,19,Male,ISTP,2,4,1,5,5,3,1,4,5,2,1,4
1,1,20,Male,ESFP,2,2,2,2,1,1,5,5,2,4,2,2
1,1,21,Female,INTJ,2,3,1,5,4,5,5,1,5,1,4,4
1,1,22,Female,ISTJ,2,2,1,5,2,2,2,4,1,5,5,5
1,1,23,Female,INTJ,2,2,4,1,3,1,4,3,3,4,5,4
1,1,24,Female,ENTJ,4,5,2,4,4,3,4,3,1,5,4,3
1,1,25,Female,ISFP,2,3,1,3,3,4,4,2,4,4,5,1
1,1,26,Female,ENTP,1,5,5,5,1,2,4,1,2,1,5,2
1,1,27,Female,ISFJ,1,4,5,1,3,4,3,2,4,4,5,1
1,1,28,Female,INFJ,3,1,3,4,4,2,4,2,3,2,5,1
1,1,29,Female,INFP,5,1,3,5,1,3,2,1,4,4,5,2
1,1,30,Female,INFJ,3,3,4,2,4,4,4,5,2,5,4,2
1,1,31,Female,ENFP,5,2,1,2,3,1,3,2,1,4,1,5
1,1,32,Female,INFJ,5,4,5,4,1,1,5,3,1,1,5,1
1,1,33,Female,ENTJ,5,2,2,1,4,5,5,3,5,5,1,4
1,1,34,Female,ISTJ,4,1,5,4,2,2,1,1,4,4,4,5
1,1,35,Female,INTP,2,1,5,3,5,5,3,4,2,3,2,4
1,1,36,Female,ESFJ,2,5,1,4,5,2,5,4,5,5,2,5
1,1,37,Female,INFJ,5,4,3,3,3,4,3,2,3,2,5,4
1,1,38,Female,INTJ,2,2,4,3,1,2,4,5,1,5,3,5
1,1,39,Female,ESFJ,3,1,3,1,3,1,5,4,5,2,3,1
1,1,40,Female,INTP,3,3,4,5,1,1,4,3,5,1,2,1
1,2,1,Male,ESFJ,1,3,2,5,5,1,3,5,3,4,5,4
1,2,2,Male,ISFJ,3,1,1,2,1,5,2,1,3,3,1,2
1,2,3,Male,ISFP,4,2,3,3,3,2,4,5,3,1,5,4
1,2,4,Male,ISTJ,4,3,1,4,2,4,5,4,2,3,3,1
1,2,5,Male,ISTP,5,5,1,3,2,3,1,1,4,3,1,5
